Progress,Duration (in seconds),Finished,Distribution Channel,User Language,How many years of experience do you have using LLMs for Software Engineering tasks?,For which Software Engineering tasks have you used LLMs? Please check all that apply. - Selected Choice,For which Software Engineering tasks have you used LLMs? Please check all that apply. - Other (please specify) - Text,Which of the following LLMs (or versions of LLMs) have you used in Software Engineering research? Please select all that apply. - Selected Choice,Which of the following LLMs (or versions of LLMs) have you used in Software Engineering research? Please select all that apply. - Other (please specify) - Text,How often do you use LLMs for Code Generation tasks in a typical week?,"Please indicate to what extent you agree with the statement: 
""I generally trust LLMs on Code Generation tasks""",Which of the following factors are likely to influence your trust in LLMs on Code Generation tasks? Please select all that apply. - Selected Choice,Which of the following factors are likely to influence your trust in LLMs on Code Generation tasks? Please select all that apply. - Other (please specify) - Text,"In your own words, how would you define ""TRUST"" in LLMs for Code Generation?","Among [QID137-ChoiceGroup-SelectedChoicesTextEntry], do you trust some of these models for Code Generation tasks more than others?","Among [QID137-ChoiceGroup-SelectedChoicesTextEntry], which model(s) do you trust more for Code Generation tasks and why?",How often do you review the code generated by LLMs?,Do you review the code generated by LLMs differently from code written by humans?,"How do you typically review the code written by humans? For example, describe the steps you take, and the key aspects you aim to verify during the process.","How do you typically review the code generated by LLMs? For example, describe the steps you take, and the key aspects you aim to verify during the process.",How would you measure TRUST in code generated by LLMs?,How often do you use LLMs for Test Case Generation tasks in a typical week?,"Please indicate to what extent you would agree with the statement: 
""I generally trust LLMs on Test Case Generation tasks.""",Which of the following factors is likely to influence your trust in LLMs on Test Case Generation tasks? Please select all that apply. - Selected Choice,Which of the following factors is likely to influence your trust in LLMs on Test Case Generation tasks? Please select all that apply. - Other (please specify) - Text,"In your own words, how would you define TRUST in LLMs for Test Case Generation?","Among [QID137-ChoiceGroup-SelectedChoicesTextEntry], do you trust some of these models for Test Case Generation tasks more than others?","Among [QID137-ChoiceGroup-SelectedChoicesTextEntry], which model(s) do you trust more for Test Case Generation tasks and why?",How often do you review the test cases generated by LLMs?,Do you review the test cases generated by LLMs differently from those written by humans?,"How do you typically review the test cases written by humans? For example, describe the steps you take, and the key aspects you aim to verify during the process.","How do you typically review the test cases generated by LLMs? For example, describe the steps you take, and the key aspects you aim to verify during the process.",How would you measure TRUST in Test Cases generated  by LLMs?,How often do you use LLMs for automatic Program Repair tasks in a typical week?,"Please indicate to what extent you would agree with the statement:

 ""I generally trust LLMs on Program Repair tasks.""",Which of the following factors is likely to influence your trust in LLMs on Program Repair tasks? Please select all that apply. - Selected Choice,Which of the following factors is likely to influence your trust in LLMs on Program Repair tasks? Please select all that apply. - Other (please specify) - Text,"In your own words, how would you define TRUST in LLMs for Program Repair?","Among [QID137-ChoiceGroup-SelectedChoicesTextEntry], do you trust some of these models for Program Repair tasks more than others?","Among [QID137-ChoiceGroup-SelectedChoicesTextEntry], which model(s) do you trust more for Program Repair tasks and why?",How often do you review the program repairs generated by LLMs?,Do you review the program repairs generated by LLMs differently from those written by humans?,"How do you typically review the program repairs written by humans? For example, describe the steps you take, and the key aspects you aim to verify during the process.","How do you typically review the program repairs  generated by LLMs? For example, describe the steps you take, and the key aspects you aim to verify during the process.",How would you measure TRUST in Program Repairs generated by LLMs?,"Please indicate to what extent you agree with the statement: 
""It is important to establish the concept of trust in using LLMs in Software Engineering.""",Which measurement do you believe is more effective in capturing trust in LLMs in Software Engineering?,"In your opinion, is there a distinction between trust and trustworthiness when it comes to LLMs in Software Engineering?",Please describe the distinction between trust and trustworthiness in LLMs in Software Engineering?,What is your current job title? - Selected Choice,What is your current job title? - Other (please specify) - Text,What is the highest level of school you have completed or the highest degree you have received?,How many years of experience do you have with Software Engineering?,Please select the age range that best represents you:,What is your sex? - Selected Choice,What is your sex? - Other (please specify) - Text,"Do you identify as Spanish, Hispanic, or Latino?",What is your race or ethnicity? Please select all that apply. - Selected Choice,What is your race or ethnicity? Please select all that apply. - Other (please specify) - Text
100,1225,TRUE,anonymous,EN,3-5 years,"Code Generation (i.e., code completion),Code Summarization (i.e., generate description from source code),Test Case Generation (i.e., unit test generation),Program Repair (i.e., bug fixing)",,"Copilot,GPT-4",,Always (6-7 days a week),Agree,"Accuracy (i.e., outputs that the models generate are consistently correct),Interpretability (i.e., intentions/decisions of the model are comprehensible),Robustness (i.e., the model acts reliably under diverse scenarios)",,"1. Unlikely to make mistakes.
2. Provide more information/knowledge than I know or even more than what I can search. ",Yes,GPT-4. It is a more advanced LLM to my understanding. It has more logic reasoning capability. ,Often,Yes,"Code review in Github as pull requests. I read their code, but I feel it takes a very long time for me to understand them. But I do not have enough time to review everything. ","LLM-generated code is in small trunks and is continuous with what I was writing. So I read the code as it generates. It is much faster than reading human code. I verify if the logic is correct, especially if the logic is doing what I want. ",The likelihood that I accept the code without fully understand the code. ,Rarely (less than 1 day a week),Agree,"Accuracy (i.e., outputs that the models generate are consistently correct),Robustness (i.e., the model acts reliably under diverse scenarios)",,I trust LLMs for test generation if it can generate a rich set of tests. ,Unsure,,Always,No,,,The duration that I spend on carefully reading the test cases. ,Rarely (less than 1 day a week),Disagree,"Accuracy (i.e., outputs that the models generate are consistently correct),Interpretability (i.e., intentions/decisions of the model are comprehensible)",,"I trust LLM for program repair when it has a good likelihood of solving the problem. However, I consider program repair to be much harder than code generation. Experienced programmers can break down code generation tasks into small ones so LLM can generate code pretty accurately. But program repair requires much more contextual information. ",Yes,"I trust Copilot more. Because Copilot can see more context than GPT-4. For GPT-4, I have to copy and paste code to the dialogue box. So I can only input a small piece of code. ",Always,Unsure,,,The times that I spent on carefully read the repairs generated by LLM. ,Neither agree nor disagree,"Multi-item measurement of diverse factors, such as  accuracy, interpretability, robustness, ethics, etc.      ",Yes,Trust is for users and trustworthiness is a property of LLM. ,Professor,,Graduate or professional degree,More than 5 years,25 to 34,Male,,None of these,Asian,
100,1265,TRUE,anonymous,EN,1-2 years,"Code Generation (i.e., code completion),Code Summarization (i.e., generate description from source code),Program Repair (i.e., bug fixing)",,"Copilot,GPT-3.5,GPT-4",,Occasionally (1-2 days a week),Agree,"Accuracy (i.e., outputs that the models generate are consistently correct),Controllability (i.e., behavior of the model can be directed by humans),Robustness (i.e., the model acts reliably under diverse scenarios),Endorsement (i.e., other engineers/organizations have endorsed the model)",,The generated code fulfilled my requirements and the code is bug free.,Yes,Copilot,Always,Yes,"I will first check the method name, related documentation, arguments, and return values. Then I will check the structure of the code. For example, does the code contain too many loops or if-else statements? Then I will check if there exist any unused variables. Finally, I will run the test cases.",I would do mostly the same thing. However I noticed that many LLM-generated codes are meaningless and require extra time to understand what AI wants to do.,I trust the code if it does want I want it to do.,,,,,,,,,,,,,Rarely (less than 1 day a week),Agree,"Accuracy (i.e., outputs that the models generate are consistently correct),Interpretability (i.e., intentions/decisions of the model are comprehensible),Endorsement (i.e., other engineers/organizations have endorsed the model)",,"The LLM model can help me detect the bug and fix the bug, and I can confirm that the bug does exist.",Unsure,,Frequently,Unsure,,,"I will still run the test cases to make sure the program passes all the test cases. If one LLM model fails too many times, I would not trust that LLM model.",Somewhat agree,"Single-item measurement  e.g., a score from 1 (no trust) to 5 (complete trust) for trust in LLMs in Software Engineering  ",No,,Student,,Graduate or professional degree,3-5 years,25 to 34,Male,,None of these,Asian,
100,5971,TRUE,anonymous,EN,Less than 1 year,"Program Repair (i.e., bug fixing)",,GPT-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,Rarely (less than 1 day a week),Disagree,"Accuracy (i.e., outputs that the models generate are consistently correct),Ethicality (i.e., the model protects data and adheres to moral standards),Other (please specify)",My coding skill will degrade if I use it too often,"I think LLM is a good reference, but I wouldn't use it too frequently. First of all, it gave me incorrect codes, and secondly, I don't want machines to take over my jobs.",,,Always,Yes,"Normally, I use inline forums like Stackoverflow, and I typically trust their codes because you can see the number of upvotes, meaning that other people also trust the code.","I will probably see if there are any syntax errors or other obvious errors first. From my experience, sometimes chatGPT makes up code that is not working.","I don't measure trust when I use LLM. I always assume it might be a good reference, but I won't trust it until I found it working.",Somewhat agree,"Multi-item measurement of diverse factors, such as  accuracy, interpretability, robustness, ethics, etc.      ",No,,Researcher,,Graduate or professional degree,3-5 years,25 to 34,Male,,None of these,Asian,
100,846,TRUE,anonymous,EN,Less than 1 year,"Code Generation (i.e., code completion),Program Repair (i.e., bug fixing)",,"Copilot,GPT-4",,Frequently (3-5 days a week),Neutral,"Accuracy (i.e., outputs that the models generate are consistently correct),Controllability (i.e., behavior of the model can be directed by humans),Robustness (i.e., the model acts reliably under diverse scenarios)",,It can generate the code that follows my requirements. And it can pass my test cases ,Unsure,,Always,No,,,"First, review the code to see if it is correct. Then, use some test cases to test. ",,,,,,,,,,,,,Frequently (3-5 days a week),Highly Agree,"Accuracy (i.e., outputs that the models generate are consistently correct),Controllability (i.e., behavior of the model can be directed by humans),Interpretability (i.e., intentions/decisions of the model are comprehensible),Robustness (i.e., the model acts reliably under diverse scenarios)",, the confidence that the LLMs can identify and fix bugs in code correctly ,Unsure,,Always,No,,,The rate of generated fixes that resolve the identified bugs successfully .,Neither agree nor disagree,"Multi-item measurement of diverse factors, such as  accuracy, interpretability, robustness, ethics, etc.      ",No,,Student,,Graduate or professional degree,More than 5 years,25 to 34,Female,,None of these,Asian,
100,541,TRUE,anonymous,EN,1-2 years,"Code Generation (i.e., code completion),Code Summarization (i.e., generate description from source code)",,"BERT,Copilot,GPT-3,GPT-3.5,GPT-4,LLaMa",,Frequently (3-5 days a week),Agree,"Accuracy (i.e., outputs that the models generate are consistently correct),Controllability (i.e., behavior of the model can be directed by humans),Interpretability (i.e., intentions/decisions of the model are comprehensible),Robustness (i.e., the model acts reliably under diverse scenarios)",,"Accuracy, transparency, and security of the generated code.",No,,Always,No,,,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,"Multi-item measurement of diverse factors, such as  accuracy, interpretability, robustness, ethics, etc.      ",Unsure,,Student,,Bachelor's degree,1-2 years,25 to 34,Male,,None of these,Asian,
100,1601,TRUE,anonymous,EN,1-2 years,"Code Generation (i.e., code completion),Code Summarization (i.e., generate description from source code)",,"GPT-3,GPT-3.5,GPT-4",,Rarely (less than 1 day a week),Neutral,"Accuracy (i.e., outputs that the models generate are consistently correct),Controllability (i.e., behavior of the model can be directed by humans),Robustness (i.e., the model acts reliably under diverse scenarios),Workflow integration (i.e., the model can easily be integrated to existing development practices)",,The degree of confidence in using a piece of code generated by an LLM while having the complete knowledge on the context of the codebase on my end.,Yes,"I would feel more confident in using GPT-4 because it can take as input a complete codebase with multiple files at a time, which enables the model to have a complete picture.",Always,Unsure,,,By usability of the generated code.,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,"Multi-item measurement of diverse factors, such as  accuracy, interpretability, robustness, ethics, etc.      ",Yes,I may trust a piece of code generated by an LLM based on its usability but it does not make that LLM trustworthy for every encounter. ,Student,,Bachelor's degree,3-5 years,25 to 34,Female,,None of these,Asian,
100,883,TRUE,anonymous,EN,1-2 years,"Code Generation (i.e., code completion),Code Summarization (i.e., generate description from source code),Test Case Generation (i.e., unit test generation),Program Repair (i.e., bug fixing)",,"GPT-3,GPT-3.5,GPT-4,Other (please specify)",CodeGen,Occasionally (1-2 days a week),Agree,"Accuracy (i.e., outputs that the models generate are consistently correct),Controllability (i.e., behavior of the model can be directed by humans),Robustness (i.e., the model acts reliably under diverse scenarios)",,"Trust in LLMs for Code Generation is how accurately and efficiently an LLM can produce code that is essentially or almost correct, and easily fixed by programmer intervention, without many errors.",Yes,"For complex tasks, I would trust GPT-4 if it were available reliably, as it is better at higher-level reasoning, with GPT-3.5 being my go-to LLM.",Always,Yes,"Code written by humans is usually functionally done, barring minor bugs. I verify edge cases, and look at the general feel of code.","Code generated by LLMs is automatically suspicious in many aspects, such as syntax, style, and functionality; the code I take generated from LLMs is almost never used wholesale, and is repurposed and used only as a skeleton for the final product.",I would measure trust in code generated by LLMs by assessing the degree to which I must change the code for it to suit my purposes.,Rarely (less than 1 day a week),Agree,"Accuracy (i.e., outputs that the models generate are consistently correct),Controllability (i.e., behavior of the model can be directed by humans),Interpretability (i.e., intentions/decisions of the model are comprehensible),Ethicality (i.e., the model protects data and adheres to moral standards)",,Trust in LLMs for Test Case Generation involves accurately and precisely producing meaningful test cases which insightfully test the provided function.,Yes,"GPT-3.5, because it's the best model that's reliably available of the provided options.",Always,Yes,I cursorily observe the proposed inputs and run the test cases to ensure they pass.,"I look at the proposed test cases more closely, checking for things like syntax and calling conventions, verifying the input is correctly being piped into the proposed function, as well as running the test cases to ensure they pass.",I would trust test cases the more they prove that my doubts about correct syntax and calling conventions do not apply.,Rarely (less than 1 day a week),Disagree,"Accuracy (i.e., outputs that the models generate are consistently correct),Controllability (i.e., behavior of the model can be directed by humans),Interpretability (i.e., intentions/decisions of the model are comprehensible),Robustness (i.e., the model acts reliably under diverse scenarios),Endorsement (i.e., other engineers/organizations have endorsed the model),Source reputation (i.e., reputation of the platform/individual introducing the model)",,"Trust in LLMs for Program Repair requires insightful, correct propositions with concise, logical reasoning and justifications for changes.",No,,Always,Yes,"I tend to trust humans a lot more - if a human says they fixed the issue, there is unlikely to be any significant flaws with their approach (unless said human has a reputation of being erroneous).","I scrutinize the proposed program repair output of LLMs very highly, as they can often give wildly incorrect approaches (both in function and in style), and produce apparently-sensible English justification which does not correspond to whether the changes actually make sense.","I measure trust in program repairs not very much, only as evidenced by consistent and accurate program repairs - and I would not trust LLMs with complex debugging tasks.",Somewhat agree,"Multi-item measurement of diverse factors, such as  accuracy, interpretability, robustness, ethics, etc.      ",Unsure,,Freelancer,,Graduate or professional degree,More than 5 years,18 to 24,Male,,None of these,"Native Hawaiian or Pacific Islander,White",
100,127,TRUE,anonymous,EN,No experience,Other (please specify),none yet,Other (please specify),I've heard of several of these but haven't used any in software development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,"Multi-item measurement of diverse factors, such as  accuracy, interpretability, robustness, ethics, etc.      ",Unsure,,Other (please specify),I'm currently a PhD student and also hold a job as a software developer,Bachelor's degree,1-2 years,25 to 34,Male,,None of these,Asian,
100,13555,TRUE,anonymous,EN,1-2 years,"Code Generation (i.e., code completion),Program Repair (i.e., bug fixing)",,"BERT,CodeT5+,Copilot",,Frequently (3-5 days a week),Agree,"Accuracy (i.e., outputs that the models generate are consistently correct),Community engagement (i.e., an existing community has used the model and can offer additional support),Workflow integration (i.e., the model can easily be integrated to existing development practices),Ethicality (i.e., the model protects data and adheres to moral standards),Source reputation (i.e., reputation of the platform/individual introducing the model)",,"If the logic is correct and pass all the tests, i'll trust them",Yes,Copilot,Often,No,,,I do not have an idea to measure the trust to be honest. (May if the code generation comes with community voting or something),,,,,,,,,,,,,Rarely (less than 1 day a week),Agree,"Accuracy (i.e., outputs that the models generate are consistently correct),Interpretability (i.e., intentions/decisions of the model are comprehensible),Community engagement (i.e., an existing community has used the model and can offer additional support),Workflow integration (i.e., the model can easily be integrated to existing development practices),Ethicality (i.e., the model protects data and adheres to moral standards),Source reputation (i.e., reputation of the platform/individual introducing the model)",,"According to my understanding, Trust in LLM for program repair is providing reliable answers which are accepted by the community like stack over flow or reliable static analysis tools. ",Yes,CoPilot,Occasionally,No,,,"If the generated program repair is following the industry standards, will trust them.",Strongly agree,"Multi-item measurement of diverse factors, such as  accuracy, interpretability, robustness, ethics, etc.      ",Unsure,,Student,,Bachelor's degree,3-5 years,25 to 34,Male,,None of these,Asian,
100,605,TRUE,anonymous,EN,Less than 1 year,"Code Generation (i.e., code completion),Vulnerability Detection (i.e., find vulnerable code)",,Other (please specify),Don't recall,Rarely (less than 1 day a week),Neutral,"Accuracy (i.e., outputs that the models generate are consistently correct),Interpretability (i.e., intentions/decisions of the model are comprehensible),Source reputation (i.e., reputation of the platform/individual introducing the model)",,I would consider trust to mean that I would be comfortable including the LLM generate code into a code review packet without feeling the need to verify the code in advance.,,,Rarely,Unsure,,,I would likely gauge trust in LLM generated code based on the amount of code generated over time that does/does not require modification for proper execution.,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,"Multi-item measurement of diverse factors, such as  accuracy, interpretability, robustness, ethics, etc.      ",No,,Manager,,Graduate or professional degree,More than 5 years,55 to 64,Male,,None of these,White,
